year,start_station_id,total_bikes,started_at
2023,5073.07,457,457
2023,5073.07_Pillar,6,6
2023,5074.08,212,212
2023,5076.04,493,493
2023,5082.08,229,229
2023,5084.03,216,216
2023,5090.06,109,109
2023,5093.01,197,197
2023,5096.12,899,899
2023,5097.02,113,113
2023,5099.02,393,393
2023,5099.03,106,106
2023,5105.01,1173,1173
2023,5106.04,176,176
2023,5108.01,1024,1024
2023,5114.06,691,691
2023,5114.08,569,569
2023,5115.01,215,215
2023,5115.05,220,220
2023,5117.05,783,783
2023,5123.07,163,163
2023,5125.03,642,642
2023,5125.07,712,712
2023,5128.04,814,814
2023,5129.01,72,72
2023,5134.09,1091,1091
2023,5137.10,1180,1180
2023,5137.11,889,889
2023,5138.03,69,69
2023,5140.06,154,154
2023,5145.02,434,434
2023,5146.03,165,165
2023,5148.03,490,490
2023,5156.05,753,753
2023,5159.04,668,668
2023,5159.07,597,597
2023,5160.01,53,53
2023,5164.05,1010,1010
2023,5167.06,437,437
2023,5168.04,112,112
2023,5170.01,203,203
2023,5175.08,938,938
2023,5176.04,207,207
2023,5178.06,980,980
2023,5181.04,667,667
2023,5184.08,1538,1538
2023,5187.03,858,858
2023,5190.07,417,417
2023,5190.09,904,904
2023,5195.06,789,789
2023,5198.04,484,484
2023,5199.01,59,59
2023,5204.05,976,976
2023,5207.01,1467,1467
2023,5210.01,362,362
2023,5216.04,403,403
2023,5216.06,1839,1839
2023,5217.03,127,127
2023,5219.05,387,387
2023,5225.02,121,121
2023,5225.04,135,135
2023,5230.02,589,589
2023,5235.05,1519,1519
2023,5235.10,855,855
2023,5238.05,1114,1114
2023,5241.02,59,59
2023,5247.10,813,813
2023,5248.05,66,66
2023,5250.05,546,546
2023,5257.01,94,94
2023,5259.06,476,476
2023,5262.09,935,935
2023,5267.08,912,912
2023,5267.09,696,696
2023,5270.05,1042,1042
2023,5270.07,1533,1533
2023,5270.08,1368,1368
2023,5270.09,1630,1630
2023,5273.01,61,61
2023,5276.04,768,768
2023,5279.03,1150,1150
2023,5280.03,41,41
2023,5282.02,328,328
2023,5288.08,863,863
2023,5288.09,933,933
2023,5288.12,1334,1334
2023,5289.05,56,56
2023,5291.05,1534,1534
2023,5297.02,1439,1439
2023,5300.05,870,870
2023,5300.06,449,449
2023,5303.06,1708,1708
2023,5303.08,1986,1986
2023,5308.04,2194,2194
2023,5321.08,53,53
2023,5323.06,367,367
2023,5326.06,334,334
2023,5329.03,2774,2774
2023,5329.08,666,666
2023,5332.10,210,210
2023,5335.03,861,861
2023,5335.07,2085,2085
2023,5340.01,1897,1897
2023,5342.10,1702,1702
2023,5343.11,1690,1690
2023,5348.02,973,973
2023,5351.03,1081,1081
2023,5351.07,1341,1341
2023,5354.01,102,102
2023,5359.10,1077,1077
2023,5359.11,973,973
2023,5359.12,541,541
2023,5359.13,558,558
2023,5360.02,63,63
2023,5362.08,195,195
2023,5365.02,1092,1092
2023,5368.03,1259,1259
2023,5369.01,104,104
2023,5371.07,317,317
2023,5374.01,2513,2513
2023,5379.09,945,945
